nodeip,nodename,loginmethod,backupperiod,lastbackuptime
192.168.1.41,gd-c3560-1-s67-11f,telnet,,
192.168.1.42,gd-c3550-1-s36-11f,telnet,,
192.168.1.43,gd-c2950-1-s33-11f,telnet,,
192.168.232.1,ct-c4506-1-s96-2f,telnet,,
192.168.232.2,ct-c4506-2-s97-4f,telnet,,
192.168.232.43,ct-c3560-3-s56-4f,ssh,,
192.168.232.44,ct-c3560-4-s115-4f,telnet,,
192.168.232.45,ct-c3560-5-s122-2f,ssh,,
192.168.232.46,ct-c3560-6-s123-4f,ssh,,
192.168.232.47,ct-c3560-7-s124-2f,telnet,,
192.168.232.48,ct-c3560-8-s125-4f,telnet,,
192.168.232.51,ct-c2960-1-s164-2f,ssh,,
192.168.232.52,ct-c2960-2-s165-4f,ssh,,
192.168.232.53,ct-c2960-3-s166-2f,ssh,,
192.168.232.54,ct-c2960-4-s167-4f,ssh,,
192.168.232.55,ct-c2960-5-s168-4f,ssh,,
192.168.232.56,ct-c2960-6-s243-2f,ssh,,
192.168.232.57,ct-c2960-7-s244-2f,ssh,,
192.168.232.58,ct-c2960-8-s245-4f,ssh,,
192.168.232.59,ct-c2960-9-s248-4f,ssh,,
192.168.232.58,ct-c2960-10-s377-4f,ssh,,
192.168.224.1,lt-c4948-1-s257-2f,telnet,,
192.168.224.2,lt-c4948-2-s256-2f,telnet,,
192.168.224.21,lt-c3560-1-s102-2f,ssh,,
192.168.224.23,lt-c3560-3-s126-2f,ssh,,
192.168.224.31,lt-c2960-1-s162-2f,ssh,,
192.168.224.32,lt-c2960-2-s163-2f,ssh,,
192.168.224.33,lt-c2960-3-s246-2f,ssh,,
192.168.224.34,lt-c2960-4-s247-2f,ssh,,
192.168.224.35,lt-c2960-5-s267-2f,ssh,,
192.168.224.36,lt-c2960-6-s293-2f,ssh,,
192.168.224.37,lt-c2960-7-s95-2f,ssh,,
192.168.225.21,kxc-c3560-1-s127,ssh,,
192.168.160.1,yd-c3560-1-s116,ssh,,
192.168.197.1,sh-c3560-1,ssh,,
192.168.197.2,sh-c3560-s66-C,telnet,,
192.168.197.21,sh-c3550-3-s38,telnet,,
192.168.197.41,sh-2918-48-1,ssh,,
192.168.197.42,sh-2918-48-2,ssh,,
192.168.197.43,sh-2918-48-3,ssh,,
192.168.197.44,sh-2918-48-4,ssh,,
192.168.197.45,sh-2918-48-5,ssh,,
192.168.197.46,sh-2918-48-6,ssh,,
192.168.197.47,sh-2918-48-7,ssh,,
192.168.197.48,sh-2918-48-8,ssh,,
192.168.197.51,sh-2950-48-1,telnet,,
192.168.97.1,bj-c3560-1-22f,ssh,,
192.168.97.2,bj-3560-2,ssh,,
192.168.97.12,bj-2918TC-2,ssh,,
192.168.97.11,bj-c2918TC-1-22f,ssh,,
192.168.97.13,bj-c2918TC-3,ssh,,
192.168.97.21,bj-c2918TT-48-1,ssh,,
192.168.97.22,bj-c2918TT-48-2,ssh,,
192.168.97.23,bj-c2918TT-48-3,ssh,,
192.168.97.24,bj-c2918TT-48-4,ssh,,
192.168.97.25,bj-c2918TT-48-5,ssh,,
192.168.97.26,bj-c2918TT-48-6,ssh,,
192.168.97.31,bj-c2918TT-1-18f,ssh,,
192.168.97.32,bj-c2918TT-1-18f,ssh,,
192.168.97.33,bj-c2918TT-1-18f,ssh,,
192.168.97.34,bj-c2918TT-4-18f,ssh,,
192.168.97.35,bj-c2918TT-5-18f,ssh,,
192.168.97.36,bj-c2918TT-6-18f,ssh,,
192.168.97.40,bj-c2918TT-10-21f,ssh,,
192.168.1.1,gz-4506-1-s174,ssh,,
192.168.1.2,gz-4506-2-s175,ssh,,
192.168.1.21,gz-2960-1-s178,ssh,,
192.168.1.22,gz-2960-2-s179,ssh,,
192.168.1.23,gz-2960-3-s180,ssh,,
192.168.1.24,gz-2960-4-s181,ssh,,
192.168.1.25,gz-c2960x-S375-A10,ssh,,
192.168.1.219,gz-2960-s169-2C-B6,ssh,,
192.168.1.218,gz-2960-s385-2C-B9,ssh,,
192.168.1.27,gz-c3560-S61-A4,ssh,,
192.168.1.28,gz-c3560-S104-A5,ssh,,
192.168.1.36,gz-c3550-S35-C10,ssh,,
192.168.1.217,gz-2960X-s376-C1,ssh,,
192.168.1.216,gz-2960-s294-2C-B3,ssh,,
192.168.1.220,gz-3560-s103-2C-A7,ssh,,
192.168.1.33,gz-c2950-S40-A6,telnet,,
192.168.1.211,2918-2fa-7-s335,ssh,,
192.168.1.61,2918-2fa-1-s182,ssh,,
192.168.1.62,2918-2fa-2-s183,ssh,,
192.168.1.63,2918-2fa-3-s184,ssh,,
192.168.1.64,2918-2fa-4-s185,ssh,,
192.168.1.65,2918-2fa-5-s186,ssh,,
192.168.1.29,gz-2918-2fb-s319,ssh,,
192.168.1.30,2918-2fa-6-s320,ssh,,
192.168.1.212,2918-3fa-7-s154,ssh,,
192.168.1.31,2918-3fa-6-s260,ssh,,
192.168.1.66,2918-3fa-1-s187,ssh,,
192.168.1.67,2918-3fa-2-s188,ssh,,
192.168.1.68,2918-3fa-3-s189,ssh,,
192.168.1.69,2918-3fa-4-s190,ssh,,
192.168.1.70,2918-3fa-5-s191,ssh,,
192.168.1.71,2918-3fb-1-s192,ssh,,
192.168.1.72,2918-3fb-2-s193,ssh,,
192.168.1.73,2918-3fb-3-s194,ssh,,
192.168.1.74,2918-3fb-4-s195,ssh,,
192.168.1.213,2918-3fc-9-s259,ssh,,
192.168.1.51,2918-3fc-1-s258,ssh,,
